| 参数类别                | 可选参数（男女合并）                                                                                                                                                                                                                                                                                                   |
| ------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| 背景                  | Silver gray gradient, Light blue gradient, Light gray gradient, Light beige gradient, Light blue-gray gradient, Light silver gradient, Modern office interior (glass, white walls, plants, blurred), Conference room background (blurred), Tree-lined street (blurred), Outdoor terrace or balcony (blurred) |
| 外套材质（Suit Fabric）   | Wool, Wool Blend, Worsted Wool, Silk Blend, Tweed                                                                                                                                                                                                                                                            |
| 外套颜色（Suit Color）    | Charcoal, Navy, Black, Light Grey, Midnight Blue, Charcoal Blue, Pinstripe Charcoal, Cream, Soft Blue, Light Pink, Taupe, White                                                                                                                                                                              |
| 衬衣颜色（Shirt Color）   | White, Light Blue, Pale Grey, Light Pink, Ivory, Soft Beige                                                                                                                                                                                                                                                  |
| 领带（Neck Tie）        | None, Navy, Burgundy, Charcoal, Black, Silver, Striped （仅男性可用）                                                                                                                                                                                                                                               |
| 构图（Composition）     | Above shoulders, Above waist                                                                                                                                                                                                                                                                                 |
| 手部姿势（Hand Pose）     | Hands naturally down, Hands in pockets, Arms crossed, Buttoning jacket, One hand touching chin, Adjusting lapel, Hands lightly crossed in front, One hand on waist, Holding blazer edge                                                                                                                      |
| 眼睛方向（Eye Direction） | Facing the camera, Slightly away from camera                                                                                                                                                                                                                                                                 |
| 表情（Expression）      | Serious and professional, Natural smile, Laughing (slight motion)                                                                                                                                                                                                                                            |
